Company,Group,Change
Premier Explos.,B,+   4.34
Intense Technologies,B,+   4.33
T Nadu Newsprint,B,+   4.33
Alankit,B,+   4.32
MarathonNextgenRea,B,+   4.30
Walchandnagar,B,+   4.27
Lotus Eye Hospital,B,+   4.27
GTL Ltd.,B,+   4.27
Ausom Enterprise,B,+   4.26
Om Infra,B,+   4.21
Refex Industries,B,+   4.15
Asian Granito India,B,+   4.15
McLeod Russel,B,+   4.10
CSL Finance,B,+   4.02
Indo Amines Limi,B,+   4.02
DEE Development Eng,B,+   4.01
RIR Power Electronic,B,+   3.97
Kellton Tech Solutio,B,+   3.96
Quality Power Electr,B,+   3.92
Sharika Enterprises,B,+   3.91
K P Energy Ltd.,B,+   3.91
Sai Life Science,B,+   3.90
Hindware Home Innova,B,+   3.89
Carraro India L,B,+   3.88
Kewal Kiran Clothing,B,+   3.82
5Paisa Capital,B,+   3.82
TPL Plastech Ltd.,B,+   3.79
India Pesticides,B,+   3.76
TCI Finance,B,+   3.73
Raymond Lifestyle L,B,+   3.72
Abans Financial Serv,B,+   3.72
Primo Chemicals,B,+   3.72
Meghna Infracon Infr,B,+   3.69
Datamatics Global Se,B,+   3.67
Elantas Beck India L,B,+   3.67
Trigyn Technolog,B,+   3.67
Active Clothing Co,B,+   3.66
Subros Ltd.,B,+   3.62
Country Club Hospita,B,+   3.59
Viji Finance,B,+   3.54
Brand Concepts L,B,+   3.54
Jet Freight Logistic,B,+   3.54
Bajel Projects,B,+   3.53
PPAP Automotive,B,+   3.53
MSP Steel & Power Lt,B,+   3.52
Inventurus Knowledge,B,+   3.51
Kothari Products,B,+   3.51
Navkar Corporation L,B,+   3.50
Satin Creditcare,B,+   3.49
NTPC Green Energy,B,+   3.49
Himatsingka Seid,B,+   3.46
Times Guaranty,B,+   3.45
Reliable Data Servic,B,+   3.43
P N Gadgil Jewellers,B,+   3.43
Ddev Plastiks Indust,B,+   3.42
Oswal Agro Mills,B,+   3.40
Share India Securiti,B,+   3.40
Pavna Industries,B,+   3.40
Hind. Flurocarbo,B,+   3.39
Cantabil Retail Indi,B,+   3.39
Hindprakash Industri,B,+   3.38
Shubham Polyspin,B,+   3.36
Indo US Bio-Tech,B,+   3.35
Imagicaaworld Entert,B,+   3.34
Prime Focus,B,+   3.34
Vardhman Holdings,B,+   3.34
JTEKT India,B,+   3.32
S H Kelkar & Company,B,+   3.30
Rhetan TMT,B,+   3.29
Aro Granite Indu,B,+   3.25
Dreamfolks Services,B,+   3.25
Prime Securities,B,+   3.23
Intrasoft Technologi,B,+   3.21
Capital Small Financ,B,+   3.20
Sindhu Trade Links,B,+   3.20
Synergy Green Ind,B,+   3.19
Gokul Refoils & Solv,B,+   3.19
Mukta Arts Ltd.,B,+   3.17
Prabha Energy,B,+   3.16
Nila Infrastructures,B,+   3.15
Jindal Drilling,B,+   3.15
D P Wires,B,+   3.14
PTL Enterprises,B,+   3.13
Popular Vehicles,B,+   3.13
AYM Syntex,B,+   3.12
Banswara Syntex,B,+   3.10
Medico Remedies,B,+   3.09
Mold-Tek Technologi.,B,+   3.09
Syncom Formul.,B,+   3.08
BCL Industries,B,+   3.07
Shankar Lal Rampal,B,+   3.06
Guj. Leasing Fin,B,+   3.06
Snowman Logistics Lt,B,+   3.04
Rajratan Global Wire,B,+   3.00
Tuticorin Alk.,B,+   2.99
Vishal Mega Mart,B,+   2.99
Zenith Steel Pipes,B,+   2.99
Afcons Infrastru,B,+   2.97
Arvind SmartSpaces,B,+   2.96
Parag Milk Foods,B,+   2.95
Camlin Fine Sciences,B,+   2.93
Mercury Ev-Tech,B,+   2.93
Accelya Solutions In,B,+   2.92
DAM Capital Advisors,B,+   2.92
Gopal Snacks,B,+   2.92
Patel Integrated Log,B,+   2.91
Reliance Chemote,B,+   2.91
Updater Service,B,+   2.91
One Mobikwik Systems,B,+   2.90
Dolat Algotech,B,+   2.90
Northern Arc Capital,B,+   2.90
The Indian Card Clot,B,+   2.89
Nahar Spg Mills,B,+   2.87
Sarthak Metals,B,+   2.87
Zuari Agro Chemicals,B,+   2.86
Goa Carbon,B,+   2.83
Enviro Infra Enginee,B,+   2.82
Antony Waste Handlin,B,+   2.80
Albert David Ltd,B,+   2.79
Veto Switchgears & C,B,+   2.76
Praveg L,B,+   2.76
Prakash Pipes,B,+   2.75
Tolins Tyres,B,+   2.75
UFO Moviez India Ltd,B,+   2.75
Diamines & Chem.,B,+   2.73
Steel Strips Wheels,B,+   2.71
CL Educate,B,+   2.71
Kalyani Investment,B,+   2.69
Mayur Uniquoters,B,+   2.69
Dishman Carbogen Amc,B,+   2.67
IRM Energy,B,+   2.65
Pritika Auto Ind.,B,+   2.65
Panacea Biotec L,B,+   2.63
Suraj Estate Develop,B,+   2.63
Universal Cables,B,+   2.63
UCAL L,B,+   2.63
DCM Shriram In,B,+   2.63
KBC Global,B,+   2.63
Arihant Capital,B,+   2.61
Transworld Shipping,B,+   2.57
GHCL Textiles,B,+   2.56
Paushak Ltd.,B,+   2.56
Atul Auto Ltd,B,+   2.56
Xpro India Ltd.,B,+   2.55
Ind-Swift L,B,+   2.55
NCL Industries,B,+   2.55
Ksolves India,B,+   2.49
Plaza Wires,B,+   2.49
Sigachi Industries,B,+   2.47
N K Industries L,B,+   2.47
Hinduja Global Solut,B,+   2.47
Valiant Organics,B,+   2.47
Gokul Agro Resources,B,+   2.45
Bhagyanagar India Lt,B,+   2.45
VLS Finance L,B,+   2.44
Stove Kraft,B,+   2.44
R K Swamy,B,+   2.44
Kuantum Papers,B,+   2.42
Rane (Madras),B,+   2.41
Shivalik Rasayan,B,+   2.40
Sandhar Technologies,B,+   2.40
Gloster L,B,+   2.40
SCI Land and Assets,B,+   2.40
Manoj Vaibhav Gems N,B,+   2.38
Bhagiradha Chemi,B,+   2.38
Dynemic Products,B,+   2.37
Consolidated Constru,B,+   2.37
Advani Hotels,B,+   2.37
Punj. & Sind Ban,B,+   2.36
Jubilant Agri and Co,B,+   2.35
Hind. Motor,B,+   2.35
Allcargo Terminals,B,+   2.35
Automotive Axles,B,+   2.34
KCP Ltd.,B,+   2.34
Sanghvi Movers L,B,+   2.34
Archidply Industries,B,+   2.33
Mahindra EPC Irrigat,B,+   2.32
Diamond Power Infras,B,+   2.32
Mas Financial Servic,B,+   2.31
Genesys Int.Corp.,B,+   2.31
Thyrocare Tech.,B,+   2.31
Western Carriers (In,B,+   2.30
GCM Securities Ltd.,B,+   2.30
Sree Rayalaseema Hi-,B,+   2.29
Rico Auto Inds.,B,+   2.29
Welspun Specialty,B,+   2.27
Jayaswal Neco Indust,B,+   2.27
Autoline Industries,B,+   2.27
Birla Cable,B,+   2.26
Rushil Decor Ltd.,B,+   2.24
Ramco Industries,B,+   2.24
Indostar Capital Fin,B,+   2.23
Tracxn Technologies,B,+   2.22
Seshasayee Paper,B,+   2.22
LS Industries Ltd.,B,+   2.20
Platinum Industries,B,+   2.19
3P Land Holdings,B,+   2.18
Ganges Securities,B,+   2.18
Deccan Cements,B,+   2.18
Precision Wires,B,+   2.17
Sharda Motor Ind,B,+   2.17
Shivam Autotech Ltd.,B,+   2.16
Visaka Indus.,B,+   2.16
Mold-Tek Packaging,B,+   2.16
GNA Axles,B,+   2.15
Gala Precision Engin,B,+   2.15
Uttam Sugar Mills,B,+   2.15
Century Enka,B,+   2.13
Captain Pipes Ltd.,B,+   2.12
Vikas Ecotech L,B,+   2.11
KMC Speciality Hospi,B,+   2.11
Modern Threads,B,+   2.09
HP Adhesives,B,+   2.08
Apeejay Surrendra Pa,B,+   2.08
Amines & Plast.,B,+   2.08
Laxmi Dental,B,+   2.08
Tribhovandas Bhimji,B,+   2.07
Mahindra Logistics L,B,+   2.07
PVP Ventures Ltd.,B,+   2.06
Umang Dairies Ltd.,B,+   2.06
Bartronics India Ltd,B,+   2.06
Ador Welding Ltd.,B,+   2.05
Matrimony.com,B,+   2.05
Motor & General,B,+   2.05
Mangalam Global Ent,B,+   2.04
Ceigall India,B,+   2.04
Centrum Capital,B,+   2.04
Cords Cable Industri,B,+   2.03
Arihant Superstructu,B,+   2.03
Hind. Composites,B,+   2.03
Indian Hume Pipe,B,+   2.02
Mohit Industries,B,+   2.01
Lumax Inds.,B,+   2.00
Repro India Ltd.,B,+   2.00
State Trading,B,+   1.99
U H Zaveri,B,+   1.99
Spencers Retail,B,+   1.98
India Glycols,B,+   1.98
Damodar Industries,B,+   1.98
Vidhi Specialty Food,B,+   1.97
Disa India Ltd.,B,+   1.96
Exicom Tele-Systems,B,+   1.95
Ishan Dyes and Chem,B,+   1.94
Gallantt Ispat,B,+   1.94
OMDC,B,+   1.93
Aeroflex Industries,B,+   1.93
Atal Realtech,B,+   1.92
Weizmann,B,+   1.91
Ajmera Realty & Infr,B,+   1.91
RPSG Ventures,B,+   1.91
AMD Industries Ltd.,B,+   1.90
DCW Ltd.,B,+   1.90
Orient Paper,B,+   1.89
Baazar Style Retail,B,+   1.88
Landmark Cars,B,+   1.88
Indowind Energy Ltd.,B,+   1.88
Bodal Chemicals,B,+   1.87
Indiabulls Enterpris,B,+   1.87
India Nippon Ele,B,+   1.86
Hathway Cable & Data,B,+   1.86
Rupa & Company L,B,+   1.84
SBC Exports,B,+   1.84
Eimco Elecon Ind,B,+   1.81
Hexaware Technologie,B,+   1.81
Dhunseri Investments,B,+   1.79
Jay Bharat Marut,B,+   1.77
Apcotex Industries L,B,+   1.77
3i Infotech,B,+   1.74
Veedol Corporation,B,+   1.74
Saksoft Ltd.,B,+   1.73
Indo Rama Synth.,B,+   1.73
Indian Metal & F,B,+   1.71
AGI Infra Ltd.,B,+   1.70
Hawkins Cookers,B,+   1.69
TRF Ltd,B,+   1.68
DSJ Keep Learning,B,+   1.67
Dhanlaxmi Bank,B,+   1.67
Sirca Paints India,B,+   1.67
Niraj Cement Structu,B,+   1.66
Insecticides (India),B,+   1.66
Rashi Peripherals,B,+   1.66
Mamata Machinery,B,+   1.65
PTC India Financial,B,+   1.65
Wheels India Ltd.,B,+   1.64
Global Surfaces,B,+   1.64
Bansal Wire Industri,B,+   1.64
Control Print,B,+   1.64
NDTV,B,+   1.64
Virinchi L,B,+   1.63
HOV Services Ltd.,B,+   1.62
Orbit Exports Li,B,+   1.62
Muthoot Capital,B,+   1.62
Zodiac Clothing,B,+   1.61
Tasty Dairy Speciali,B,+   1.61
Steel Cast,B,+   1.61
Transrail Lighting L,B,+   1.61
IST Ltd.,B,+   1.61
Ratnaveer Precision,B,+   1.60
WPIL Ltd.,B,+   1.60
Dr. Agarwals Health,B,+   1.60
Paramount Commun,B,+   1.60
Surana Solar,B,+   1.60
Puravankara,B,+   1.60
Dynacons Systems,B,+   1.59
SIL Investments Ltd.,B,+   1.59
Ugro Capital,B,+   1.58
Krsnaa Diagnostics,B,+   1.58
Vikas Lifecare,B,+   1.57
Barak Valley Cements,B,+   1.57
Indl.&Prud.Invst,B,+   1.57
Unicommerce eSolutio,B,+   1.57
Sanstar L,B,+   1.55
Radiant Cash Manage,B,+   1.54
Shalby,B,+   1.54
Tinna Rubber and Inf,B,+   1.54
FCS Software Sol.Ltd,B,+   1.54
Bannari Amman Su,B,+   1.54
Madhav Marbles & Gra,B,+   1.53
Munjal Showa Ltd,B,+   1.52
Ratnabhumi Developer,B,+   1.52
Nintec Systems Ltd.,B,+   1.52
Palash Securities,B,+   1.52
Royal Orchid Hotels,B,+   1.51
Sastasundar Ventures,B,+   1.51
SMS Pharmaceuticals,B,+   1.51
Tarmat L,B,+   1.50
Banco Products,B,+   1.50
Kalyani Steel,B,+   1.50
I G Petrochemicals,B,+   1.50
Kranti Industries,B,+   1.50
Dollar Industries,B,+   1.50
Starteck Finance,B,+   1.50
Radaan Mediaworks(I),B,+   1.49
Mukka Proteins,B,+   1.48
Bhageria Industries,B,+   1.48
63 Moons Technologie,B,+   1.48
Summit Securities,B,+   1.47
Oriental Hotels,B,+   1.47
Aries Agro Ltd.,B,+   1.46
De Nora India Ltd.,B,+   1.46
T T Ltd.,B,+   1.46
Xchanging Solutions,B,+   1.46
Emmbi Industries,B,+   1.45
Guj. State Finan,B,+   1.44
Bliss GVS Pharma,B,+   1.43
Commercial Syn Bags,B,+   1.42
STBATC,B,+   1.42
Diffusion Engineers,B,+   1.42
TV Today Network Ltd,B,+   1.41
TCPL Packaging,B,+   1.41
Agarwal Industrial C,B,+   1.41
Stanley Lifestyles,B,+   1.41
Soma Textiles,B,+   1.41
Nilkamal Ltd.,B,+   1.41
Excel Realty N Infra,B,+   1.41
Hester Biosciences L,B,+   1.40
DMCC Speciality Chem,B,+   1.37
Goodluck India,B,+   1.37
Ganesha Ecosphere,B,+   1.37
Mirza International,B,+   1.34
Faze Three Ltd.,B,+   1.34
Integra Essentia,B,+   1.33
Kilburn Engg.,B,+   1.33
Harrisons Malaya,B,+   1.32
Jash Engineering,B,+   1.32
Renaissance Global,B,+   1.31
GFL L,B,+   1.31
BirlaNu,B,+   1.31
Suryoday Small Finan,B,+   1.31
Aban Offshore,B,+   1.31
NIIT Ltd.,B,+   1.30
Ather Energy,B,+   1.29
Mazda Ltd.,B,+   1.28
ASM Technologies Ltd,B,+   1.27
Indegene,B,+   1.27
Vraj Iron & Steel,B,+   1.27
Tokyo Plast Inte,B,+   1.26
EFC (I),B,+   1.26
Mufin Green Finance,B,+   1.25
Prakash Steelage Ltd,B,+   1.25
Atam Valves,B,+   1.24
GE Power India,B,+   1.24
Saint-Gobain Sekurit,B,+   1.23
Aarti Drugs Ltd,B,+   1.23
Yuken India,B,+   1.23
Ola Electric Mobilit,B,+   1.23
Medi Assist Healthca,B,+   1.23
Federal-Mogul Goetze,B,+   1.23
Hikal Ltd.,B,+   1.22
Monte Carlo Fashions,B,+   1.21
Suryalakshmi Cot,B,+   1.21
Menon Bearings L,B,+   1.21
Satia Industries,B,+   1.19
Pakka,B,+   1.19
Star Paper Mills,B,+   1.19
Kriti Nutrients,B,+   1.19
Ester India,B,+   1.18
TGV SRAAC,B,+   1.18
Apollo Pipes,B,+   1.17
Aurum Proptech,B,+   1.16
Lincoln Pharmace,B,+   1.16
Mahalaxmi Rubtec,B,+   1.16
Rana Sugars,B,+   1.16
Bajaj Housing Fin,B,+   1.15
RPG Life Sciences,B,+   1.15
Pondy Oxides & C,B,+   1.15
Ponni Sugars (Erode),B,+   1.14
3B BlackBio Dx,B,+   1.12
Meghmani Organics,B,+   1.12
SG Mart,B,+   1.12
Dwarikesh Sugar,B,+   1.10
Shanthi Gears,B,+   1.10
Vishwaraj Sugar Ind,B,+   1.09
Taj GVK Hotels & Res,B,+   1.09
Nesco Ltd.,B,+   1.09
Master Trust Ltd.,B,+   1.08
FACT,B,+   1.07
Den Networks,B,+   1.07
Indo Tech Transforme,B,+   1.06
ICRA Ltd.,B,+   1.06
Sangam (India),B,+   1.06
Vishnu Prakash R Pun,B,+   1.06
Gian Life Care,B,+   1.05
Sahyadri Industries,B,+   1.05
Oriental Trimex,B,+   1.04
Ashapuri Gold Ornam,B,+   1.04
Windlas Biotech,B,+   1.02
Piccadily Agro I,B,+   1.01
TCC Concept,B,+   1.00
Mangalam Drugs,B,+   1.00
Premier Energies,B,+   1.00
Hariom Pipe Industri,B,+   0.99
Kamdhenu Ispat,B,+   0.99
Palm Jewels,B,+   0.99
Nalwa Sons Investmen,B,+   0.99
Shah Metacorp,B,+   0.98
Ganesh Housing,B,+   0.98
Elpro Internl.,B,+   0.98
Andhra Paper,B,+   0.97
Anuh Pharma Ltd,B,+   0.97
Chemcon Speciality,B,+   0.97
OnMobile Global Ltd.,B,+   0.96
FIEM Industries,B,+   0.96
TVS Srichakra Lt,B,+   0.96
NRB Bearings Lim,B,+   0.95
Sundaram Multi P,B,+   0.94
Technocraft Industri,B,+   0.94
Hisar Metal Indu,B,+   0.93
PSP Projects,B,+   0.93
Sundaram-Clayton,B,+   0.93
G M Breweries Ltd.,B,+   0.93
Aadhar Housing Fin,B,+   0.92
Cheviot Co Ltd,B,+   0.92
Bharat Rasayan,B,+   0.92
Stylam Industries,B,+   0.92
Sasken Technologies,B,+   0.92
Veranda Learning Sol,B,+   0.91
TCI Ltd.,B,+   0.91
Zim Laboratories,B,+   0.91
India Shelter Financ,B,+   0.90
BPL Ltd.,B,+   0.90
Manorama Industries,B,+   0.90
Balkrishna Paper Mil,B,+   0.89
Bhandari Hosiery,B,+   0.89
Bodhi Tree Multimed,B,+   0.89
Polo Queen Industria,B,+   0.89
Manaksia Ltd.,B,+   0.88
Suraksha Diagnostic,B,+   0.88
Responsive Industrie,B,+   0.87
Ashoka Metcast,B,+   0.87
Gufic BioSciences Lt,B,+   0.87
Nahar Indust.Ent,B,+   0.86
Dev Information Tech,B,+   0.86
Alphageo (India),B,+   0.86
Maha Rashtra Ape,B,+   0.85
Vardhman Special St,B,+   0.85
Orient Technologies,B,+   0.85
Sreeleathers Ltd.,B,+   0.85
Neogen Chemicals,B,+   0.85
Aryaman Capital Mark,B,+   0.84
Supreme Holdings,B,+   0.84
Interarch Building,B,+   0.84
Udaipur Cement Works,B,+   0.83
Jaykay Enterprises L,B,+   0.83
IVP,B,+   0.83
Privi Speciality Che,B,+   0.83
Dhunseri Ventures,B,+   0.83
Texmo Pipes & Produc,B,+   0.82
Shree Digvijay,B,+   0.82
IKIO Technologies,B,+   0.82
AMJ Land Holdings L,B,+   0.79
Confidence Petroleum,B,+   0.79
Huhtamaki India,B,+   0.78
Alpa Laboratories Lt,B,+   0.78
Bajaj Healthcare,B,+   0.78
Exxaro Tiles,B,+   0.77
Akums Drugs & Pharma,B,+   0.77
Happy Forgings,B,+   0.77
Som Distilleries,B,+   0.76
Alldigi Tech,B,+   0.76
Ritco Logistics,B,+   0.76
Yatra Online,B,+   0.75
Dalmia Bharat Sugar,B,+   0.75
DB Corp,B,+   0.75
GIC Housing Fi,B,+   0.74
Deepak Builders & En,B,+   0.74
Systematix Corpo,B,+   0.74
Pioneer Emb.,B,+   0.73
Umiya Buildcon,B,+   0.72
Beekay Steel Indus,B,+   0.71
Bedmutha Industries,B,+   0.71
BMW Industries,B,+   0.71
Kriti Industries,B,+   0.70
Fino Payments Bank,B,+   0.70
SPIC,B,+   0.70
Sheetal Cool Product,B,+   0.69
Thangamayil Jeweller,B,+   0.69
AVT Natural Prod,B,+   0.68
GPT Infraprojects,B,+   0.68
Vishal Bearings Ltd.,B,+   0.68
Transindia Real Esta,B,+   0.67
Everest Kanto Cylind,B,+   0.66
Swaraj Engines,B,+   0.65
Uflex Ltd.,B,+   0.65
Ugar Sugar Works,B,+   0.65
Rishabh Instruments,B,+   0.64
Tarsons Products,B,+   0.64
Bhansali Engg.Po,B,+   0.64
SMS Lifesciences Ind,B,+   0.64
Heidelberg Cement In,B,+   0.64
Sterling Tools L,B,+   0.63
AAA Technologies,B,+   0.63
Yasho Industries,B,+   0.62
Panorama Studios Int,B,+   0.62
Automotive Stampings,B,+   0.62
Sakthi Sugars,B,+   0.61
Mallcom (India) L,B,+   0.61
Suven Life Sciences,B,+   0.61
Linc L,B,+   0.61
Bal Pharma Ltd,B,+   0.60
Goyal Aluminiums,B,+   0.60
Healthcare Global En,B,+   0.60
Guj. Alkalie & C,B,+   0.60
Shiva Cement,B,+   0.60
Alkali Metals Ltd.,B,+   0.59
Hind. Food,B,+   0.59
Kamat Hotels (In,B,+   0.58
Sharda Cropchem,B,+   0.58
Vardhman Polytex,B,+   0.58
Fairchem Organics,B,+   0.57
Nitco Ltd.,B,+   0.57
Silver Touch Technol,B,+   0.57
Allied Blenders,B,+   0.57
LG Balakrishnan&Bros,B,+   0.57
Kopran Ltd,B,+   0.57
Dhampur Sugar,B,+   0.56
Andhra Sugars,B,+   0.56
Ruby Mills,B,+   0.55
IOL Chemicals and Ph,B,+   0.55
Orient Ceratech,B,+   0.54
Uniphos Enterprises,B,+   0.54
Magadh Sugar & Energ,B,+   0.53
Greenpanel Industrie,B,+   0.53
IFGL Refractories,B,+   0.53
Khandwala Securi,B,+   0.52
Allied Digital Servi,B,+   0.52
Magnum Ventures Ltd.,B,+   0.52
Borosil Scientific,B,+   0.51
Vadilal Indus.,B,+   0.51
Waaree Renewable Tec,B,+   0.50
Schloss Bangalore,B,+   0.50
Race Eco Chain,B,+   0.50
Sri Havisha Hospital,B,+   0.50
HMA Agro Industries,B,+   0.49
DC Infotech and Comm,B,+   0.48
Sundaram Finance,B,+   0.48
Steel ExchangeIndia,B,+   0.48
S M Gold,B,+   0.48
Vimta Labs Ltd.,B,+   0.48
Winsome Textile,B,+   0.48
Omax Auto,B,+   0.47
Goodyear India,B,+   0.47
Globus Spirits Ltd.,B,+   0.47
Siyaram Silk,B,+   0.46
KCP Sugar & In,B,+   0.44
Xtglobal Infotech,B,+   0.44
Kohinoor Foods Ltd.,B,+   0.43
Aartech Solonics,B,+   0.43
EIH Associated,B,+   0.43
PC Jeweller L,B,+   0.42
Capital India Fin,B,+   0.42
DCM Nouvelle,B,+   0.42
Niva Bupa Health Ins,B,+   0.41
Prataap Snacks,B,+   0.41
Godawari Power & Isp,B,+   0.40
Allcargo Gati,B,+   0.39
Shaily Engineering P,B,+   0.39
SAL Steel,B,+   0.38
Robust Hotels,B,+   0.38
India Tourism De,B,+   0.38
Shalimar Paints,B,+   0.37
Nath Bio-Genes,B,+   0.37
CP Capital,B,+   0.37
Balmer Lawrie Invest,B,+   0.36
Apex Frozen Foods,B,+   0.36
Transformers & Recti,B,+   0.35
Tanfac Inds.,B,+   0.34
DCM Ltd.,B,+   0.34
Vintage Coffee,B,+   0.33
Vibhor Steel Tubes,B,+   0.33
TIL Ltd.,B,+   0.33
GPT Healthcare,B,+   0.33
Benares Hotels,B,+   0.33
Kaushalya Infrastruc,B,+   0.32
Pitti Engineering,B,+   0.32
NIBE,B,+   0.31
Tamilnadu Telecom,B,+   0.31
Cropster Agro,B,+   0.31
Flair Writing Indust,B,+   0.30
S P Apparels Ltd.,B,+   0.30
Jagsonpal Pharma,B,+   0.30
Sat Industries Ltd.,B,+   0.29
Dr. Agarwal's Ey,B,+   0.29
VRL Logistics Ltd.,B,+   0.29
Orissa Bengal Carrie,B,+   0.29
International Gemmol,B,+   0.29
Navneet Education,B,+   0.28
Karma Energy,B,+   0.28
Tamilnadu Petroprod,B,+   0.27
Inox Wind Energy,B,+   0.27
AksharChem (India),B,+   0.26
Honda India Power,B,+   0.26
Zuari Industries,B,+   0.25
Nandan Denim,B,+   0.25
Gujarat Apollo Indus,B,+   0.24
Dredging Corpora,B,+   0.23
Harrisons Malaya,B,+   0.22
Andrew Yule & Co,B,+   0.22
Hindustan Media Vent,B,+   0.21
Wonderla Holidays Lt,B,+   0.21
The Anup Engineering,B,+   0.21
Solara Active Pharma,B,+   0.21
Jayant Agro Org,B,+   0.21
Gautam Gems,B,+   0.20
Zodiac Energy,B,+   0.20
Mawana Sugars Ltd.,B,+   0.19
LE Travenues Techno,B,+   0.18
Asso. Alcohols,B,+   0.18
Vindhya Telelink,B,+   0.18
Senores Pharmaceutic,B,+   0.18
GeeCee Ventures,B,+   0.17
Celebrity Fashions L,B,+   0.16
Ventive Hospitality,B,+   0.16
Nirlon,B,+   0.16
Simplex Infrastructu,B,+   0.16
Rossari Biotech,B,+   0.16
Awfis Space Solution,B,+   0.16
Archies Ltd.,B,+   0.15
